,title,abstract,journal,link,category
312,Public Health and access to medicine. Pharmaceutical industry's role,"Every year, 10 million people die from lack of access to treatment for
curable diseases, specially in developing countries. Meanwhile, legal but
unsafe drugs cause 130 thousand deaths per year. How can this be happening in
21st Century? What role does the pharmaceutical industry play in this tragedy?
In this research, WHO reports are analyzed and primary information gathered so
as to answer this questions.",ACM Transactions on Economics and Computation,http://arxiv.org/abs/1901.02384v1,cs.AI
584,"Coevolution of deception and preferences: Darwin and Nash meet
  Machiavelli","We develop a framework in which individuals' preferences coevolve with their
abilities to deceive others about their preferences and intentions.
Specifically, individuals are characterised by (i) a level of cognitive
sophistication and (ii) a subjective utility function. Increased cognition is
costly, but higher-level individuals have the advantage of being able to
deceive lower-level opponents about their preferences and intentions in some of
the matches. In the remaining matches, the individuals observe each other's
preferences. Our main result shows that, essentially, only efficient outcomes
can be stable. Moreover, under additional mild assumptions, we show that an
efficient outcome is stable if and only if the gain from unilateral deviation
is smaller than the effective cost of deception in the environment.","ACM Transactions on Knowledge Discovery from Data
 ",http://arxiv.org/abs/2006.15308v1,cs.LG
277,"Characterizing Shadow Price via Lagrangian Multiplier for Nonsmooth
  Problem","In this paper, a relation between shadow price and the Lagrangian multiplier
for nonsmooth problem is explored. It is shown that the Lagrangian Multiplier
is the upper bound of shadow price for convex optimization and a class of
Lipschtzian optimizations. This work can be used in shadow pricing for
nonsmooth situation. The several nonsmooth functions involved in this class of
Lipschtzian optimizations is listed. Finally, an application to electricity
pricing is discussed.",ACS Energy Letters,http://arxiv.org/abs/1905.13622v2,econ.EM
573,Model instability in predictive exchange rate regressions,"In this paper we aim to improve existing empirical exchange rate models by
accounting for uncertainty with respect to the underlying structural
representation. Within a flexible Bayesian non-linear time series framework,
our modeling approach assumes that different regimes are characterized by
commonly used structural exchange rate models, with their evolution being
driven by a Markov process. We assume a time-varying transition probability
matrix with transition probabilities depending on a measure of the monetary
policy stance of the central bank at the home and foreign country. We apply
this model to a set of eight exchange rates against the US dollar. In a
forecasting exercise, we show that model evidence varies over time and a model
approach that takes this empirical evidence seriously yields improvements in
accuracy of density forecasts for most currency pairs considered.",Acta Physica Polonica A,http://arxiv.org/abs/1811.08818v2,physics.data-an
317,"Econophysics of Asset Price, Return and Multiple Expectations","This paper describes asset price and return disturbances as result of
relations between transactions and multiple kinds of expectations. We show that
disturbances of expectations can cause fluctuations of trade volume, price and
return. We model price disturbances for transactions made under all types of
expectations as weighted sum of partial price and trade volume disturbances for
transactions made under separate kinds of expectations. Relations on price
allow present return as weighted sum of partial return and trade volume
""return"" for transactions made under separate expectations. Dependence of price
disturbances on trade volume disturbances as well as dependence of return on
trade volume ""return"" cause dependence of volatility and statistical
distributions of price and return on statistical properties of trade volume
disturbances and trade volume ""return"" respectively.",Actual Problems of Economics,http://arxiv.org/abs/1901.05024v2,econ.GN
443,Game Theoretic Consequences of Resident Matching,"The resident matching algorithm, Gale-Shapley, currently used by SF Match and
the National Residency Match Program, has been in use for over 50 years without
fundamental alteration. The algorithm is a 'stable-marriage' method that favors
applicant outcomes. However, in these 50 years, there has been a big shift in
the supply and demand of applicants and programs. These changes along with the
way the Match is implemented have induced a costly race among applicants to
apply and interview at as many programs as possible. Meanwhile programs also
incur high costs as they maximize their probability of matching by interviewing
as many candidates as possible.",Actual Problems of Economics,http://arxiv.org/abs/2003.07205v1,econ.GN
119,Efficiency in Micro-Behaviors and FL Bias,"In this paper, we propose a model which simulates odds distributions of
pari-mutuel betting system under two hypotheses on the behavior of bettors: 1.
The amount of bets increases very rapidly as the deadline for betting comes
near. 2. Each bettor bets on a horse which gives the largest expectation value
of the benefit. The results can be interpreted as such efficient behaviors do
not serve to extinguish the FL bias but even produce stronger FL bias.","Actual Problems of Economics 
 ",http://arxiv.org/abs/1805.04225v1,econ.GN
178,"Modeling the residential electricity consumption within a restructured
  power market","The United States' power market is featured by the lack of judicial power at
the federal level. The market thus provides a unique testing environment for
the market organization structure. At the same time, the econometric modeling
and forecasting of electricity market consumption become more challenging.
Import and export, which generally follow simple rules in European countries,
can be a result of direct market behaviors. This paper seeks to build a general
model for power consumption and using the model to test several hypotheses.",Advances in Complex Systems,http://arxiv.org/abs/1805.11138v2,cs.GT
431,Bilateral Tariffs Under International Competition,"This paper explores the gain maximization problem of two nations engaging in
non-cooperative bilateral trade. Probabilistic model of an exchange of
commodities under different price systems is considered. Volume of commodities
exchanged determines the demand each nation has over the counter party's
currency. However, each nation can manipulate this quantity by imposing a
tariff on imported commodities. As long as the gain from trade is determined by
the balance between imported and exported commodities, such a scenario results
in a two party game where Nash equilibrium tariffs are determined for various
foreign currency demand functions and ultimately, the exchange rate based on
optimal tariffs is obtained.",Advances in Econometrics ,http://arxiv.org/abs/2001.02426v1,math.ST
302,"A possible alternative evaluation method for the non-use and nonmarket
  values of ecosystem services","Monetization of the non-use and nonmarket values of ecosystem services is
important especially in the areas of environmental cost-benefit analysis,
management and environmental impact assessment. However, the reliability of
valuation estimations has been criticized due to the biases that associated
with methods like the popular contingent valuation method (CVM). In order to
provide alternative valuation results for comparison purpose, we proposed the
possibility of using a method that incorporates fact-based costs and contingent
preferences for evaluating non-use and nonmarket values, which we referred to
as value allotment method (VAM). In this paper, we discussed the economic
principles of VAM, introduced the performing procedure, analyzed assumptions
and potential biases that associated with the method and compared VAM with CVM
through a case study in Guangzhou, China. The case study showed that the VAM
gave more conservative estimates than the CVM, which could be a merit since CVM
often generates overestimated values. We believe that this method can be used
at least as a referential alternative to CVM and might be particularly useful
in assessing the non-use and nonmarket values of ecosystem services from
human-invested ecosystems, such as restored ecosystems, man-made parks and
croplands.",Advances in Econometrics Volume B ,http://arxiv.org/abs/1811.08376v1,econ.EM
